Team,avgPull
"ANAHEIM DUCKS",1.95
"ARIZONA COYOTES",0.51667
"BOSTON BRUINS",1.46667
"BUFFALO SABRES",1.88333
"CALGARY FLAMES",1.73333
"CAROLINA HURRICANES",1.88333
"CHICAGO BLACKHAWKS",0.88333
"COLORADO AVALANCHE",1.73333
"COLUMBUS BLUE JACKETS",1.68333
"DALLAS STARS",1.55
"DETROIT RED WINGS",1.25
"EDMONTON OILERS",1.71667
"FLORIDA PANTHERS",1.75
"LOS ANGELES KINGS",1.51667
"MINNESOTA WILD",1.53333
"MONTREAL CANADIENS",1.36667
"NASHVILLE PREDATORS",1.4
"NEW JERSEY DEVILS",1.78333
"NEW YORK ISLANDERS",0.98333
"NEW YORK RANGERS",1.8
"OTTAWA SENATORS",1.5
"PHILADELPHIA FLYERS",2.13333
"PITTSBURGH PENGUINS",1.36
"SAN JOSE SHARKS",1.46667
"ST. LOUIS BLUES",1.6
"TAMPA BAY LIGHTNING",1.88333
"TORONTO MAPLE LEAFS",1.7
"VANCOUVER CANUCKS",1.71667
"VEGAS GOLDEN KNIGHTS",1.41667
"WASHINGTON CAPITALS",1.65
"WINNIPEG JETS",1.63333